A2;공공주택/용도지구
EMD_NM;
자곡동;1093434.9520263672
공릉동;868985.2091064453
고덕동;801635.5317382812
항동;666453.9287109375
신원동;544881.9141845703
강일동;525996.6181640625
증산동;508831.8055419922
율현동;374829.69482421875
우면동;358508.81970214844
상일동;329497.8664550781
세곡동;325772.72009277344
망우동;323618.6027832031
수서동;301671.73083496094
내곡동;233100.64892578125
방배동;132894.36950683594
오금동;127447.05261230469
가락동;105974.54760742188
신내동;97733.69897460938
오류동;84822.03076171875
잠실동;73715.06494140625
쌍문동;41153.624267578125
신정동;38135.742919921875
원지동;33076.36682128906
창동;15818.918090820312
성산동;10127.764770507812
영등포동;9843.701904296875
남가좌동;9372.695068359375
도봉동;8422.2412109375
불광동;8168.766845703125
중동;6718.360107421875
정릉동;5797.1004638671875
연희동;4685.712890625
삼전동;2798.202392578125
석촌동;830.482421875
오쇠동;722.4842529296875
방이동;678.0849609375
수색동;376.178466796875
오곡동;292.3577880859375
염곡동;6.2320556640625
개봉동;0.7633056640625
